name,town,state,operator,usage_type,power_kw,connectors,lat,long
RG Nallanna EVCS (EVOK) - ChargeMOD,Kozhikode,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.280814669423393,75.82434977256585
Gokulam Galleria Mall - Tata Power,Kozhikode,Kerala,Tata Power,Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), GB-T DC - GB/T 20234.3",11.258465133509901,75.79290611849729
Centro Mall Charging Station - Tata Power,Kodungallur,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.232489483292568,76.19594022414185
Mughal Mall,Kodungallur,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.231319020041099,76.19724309794333
Calicut Malabar Gold - GO EC,Kozhikode,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",11.257861801274402,75.78023060486237
Hill View Resort (EVOK) - ChargeMOD,Athirappilly,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.286039650950215,76.5585155754053
Hotel Hyson Heritage - Tata Power,Kozhikode,Kerala,Tata Power,Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",11.259214498820043,75.77933452309298
Taj The Gateway Hotel - Tata Power,Kozhikode,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.25868982319139,75.77397870788238
Maxx Inn M Star,Angamaly,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.222723756649074,76.37569774238432
Taj The Gateway Hotel - Tata Power,Kozhikode,Kerala,Tata Power,"Private - For Staff, Visitors or Customers",,Type 2 (Tethered Connector) ,11.259029053106843,75.77370839324391
Sree Gokulam Motors - Tata Power,Angamaly,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.221060359476041,76.3767521330019
Gandhi Road KSEB EVCS - ChargeMOD,Kozhikode,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",11.262784457971506,75.76824105215104
Kodungallur SVS - GO EC,Kodungallur,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.21129204884221,76.1989886692013
EVOK Charging Station - ChargeMOD,Angamaly,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.21406147599896,76.37936728862815
HOTAG EV Charging Station - GO EC,Thamarassery,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.404693280918323,75.92956805877805
"Welcome Heritage Ayatana, Ooty",Muttinadu,Tamil Nadu,Zeon Charging,Public,,Type 2 (Tethered Connector) ,11.33652,76.71073
KVR Hyundai - ChargeZone,Kozhikode,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),11.27997830911059,75.77048059797019
MB#Bridgeway Motors - ChargeZone,Kozhikode,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),11.282498947490097,75.76959949804987
Siva Selvi Charging Station,Pollachi,Tamil Nadu,Relux Electric (India),Public - Pay At Location,,CCS (Type 2),10.72709336,76.92989238
Edassery Blue Bells EVCS - ChargeMOD,Angamaly,Kerala,ChargeMod (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",10.197144124540088,76.38410959459151
V-Green EVCS - GO EC,Angamaly,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.20178008680135,76.40966162425627
"Ibex River Resort, Pollachi",Pollachi,Tamil Nadu,Zeon Charging,Public,,Type 2 (Tethered Connector) ,10.64693,76.91992
Thamarassery KESEB EVCS - ChargeMOD,Thamarassery,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",11.444087429515278,75.95587690828086
Hotel Elite Palazzo,Angamaly,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.189753400173174,76.38664227055722
Deccan Park Resort,Ooty,Tamil Nadu,Zeon Charging,Public - Pay At Location,,Type 2 (Tethered Connector) ,11.39974,76.66623
IOCL Engapuzha Fuel - Tata Power,Engapuzha,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.465050129739268,75.97017469880149
